"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"19139",38,74,6,12,13,2,4,316.357178629364,FALSE,TRUE,FALSE
"19140",38,74,7,10,11,4,3,316.343832671301,FALSE,FALSE,FALSE
"19141",38,74,8,9,10,2,6,315.807914398105,FALSE,TRUE,FALSE
"19142",38,75,3,25,25,0,0,323.811608515223,TRUE,TRUE,TRUE
"19143",38,75,4,18,19,3,1,322.968744321255,FALSE,FALSE,FALSE
"19144",38,75,5,15,15,0,0,323.811608515223,TRUE,TRUE,TRUE
"19145",38,75,6,12,13,3,3,321.792182983792,FALSE,FALSE,FALSE
"19146",38,75,7,10,11,5,2,322.196841859834,FALSE,FALSE,FALSE
"19147",38,75,8,9,10,3,5,320.968286636904,FALSE,FALSE,FALSE
"19148",38,76,3,25,26,1,2,328.050222882077,FALSE,FALSE,FALSE
"19149",38,76,4,19,19,0,0,329.135733861761,TRUE,TRUE,TRUE
"19150",38,76,5,15,16,1,4,327.552275054527,FALSE,FALSE,FALSE
"19151",38,76,6,12,13,4,2,327.566985411811,FALSE,FALSE,FALSE
"19152",38,76,7,10,11,6,1,328.251206183873,FALSE,FALSE,FALSE
"19153",38,76,8,9,10,4,4,326.468456949293,FALSE,FALSE,FALSE
"19154",38,77,3,25,26,2,1,333.67513161005,FALSE,FALSE,FALSE
"19155",38,77,4,19,20,1,3,333.106038728679,FALSE,FALSE,FALSE
"19156",38,77,5,15,16,2,3,332.67923595495,FALSE,FALSE,FALSE
"19157",38,77,6,12,13,5,1,333.594459379046,FALSE,FALSE,FALSE
"19158",38,77,7,11,11,0,0,334.473017482734,TRUE,TRUE,TRUE
"19159",38,77,8,9,10,5,3,332.221298800899,FALSE,FALSE,FALSE
"19160",38,78,3,26,26,0,0,339.823288481788,TRUE,TRUE,TRUE
"19161",38,78,4,19,20,2,2,338.462637956716,FALSE,FALSE,FALSE
"19162",38,78,5,15,16,3,2,338.329444999138,FALSE,FALSE,FALSE
"19163",38,78,6,13,13,0,0,339.823288481788,TRUE,TRUE,TRUE
"19164",38,78,7,11,12,1,6,337.915049279408,FALSE,FALSE,FALSE
"19165",38,78,8,9,10,6,2,338.175495788011,FALSE,FALSE,FALSE
"19166",38,79,3,26,27,1,2,344.100373875347,FALSE,TRUE,FALSE
"19167",38,79,4,19,20,3,1,344.342485328518,TRUE,FALSE,TRUE
"19168",38,79,5,15,16,4,1,344.319452116916,FALSE,FALSE,TRUE
"19169",38,79,6,13,14,1,5,343.425749449402,FALSE,TRUE,FALSE
"19170",38,79,7,11,12,2,5,342.743375437201,FALSE,FALSE,FALSE
"19171",38,79,8,9,10,7,1,344.297139749945,FALSE,FALSE,TRUE
"19172",38,80,3,26,27,2,1,349.763753630025,FALSE,FALSE,FALSE
"19173",38,80,4,20,20,0,0,350.56213077391,TRUE,TRUE,TRUE
"19174",38,80,5,16,16,0,0,350.56213077391,TRUE,TRUE,TRUE
"19175",38,80,6,13,14,2,4,348.414504778135,FALSE,FALSE,FALSE
"19176",38,80,7,11,12,3,4,348.09494973876,FALSE,FALSE,FALSE
"19177",38,80,8,10,10,0,0,350.562130773911,TRUE,TRUE,TRUE
"19178",38,81,3,27,27,0,0,355.950381528468,TRUE,TRUE,TRUE
"19179",38,81,4,20,21,1,3,354.582456495023,FALSE,FALSE,FALSE
"19180",38,81,5,16,17,1,4,354.36533806703,FALSE,FALSE,FALSE
"19181",38,81,6,13,14,3,3,353.926508250633,FALSE,FALSE,FALSE
"19182",38,81,7,11,12,4,3,353.786322113909,FALSE,FALSE,FALSE
"19183",38,81,8,10,11,1,7,353.913127844752,FALSE,FALSE,FALSE
"19184",38,81,9,9,9,0,0,355.950381528468,TRUE,TRUE,TRUE
"19185",38,82,3,27,28,1,2,360.264512431256,TRUE,TRUE,TRUE
"19186",38,82,4,20,21,2,2,359.989076577255,FALSE,FALSE,TRUE
"19187",38,82,5,16,17,2,3,359.554839721269,FALSE,FALSE,FALSE
"19188",38,82,6,13,14,4,2,359.778309796722,FALSE,FALSE,TRUE
"19189",38,82,7,11,12,5,2,359.730366028274,FALSE,FALSE,TRUE
"19190",38,82,8,10,11,2,6,358.650419276714,FALSE,FALSE,FALSE
"19191",38,82,9,9,10,1,8,359.201211262382,FALSE,TRUE,FALSE
"19192",38,83,3,27,28,2,1,365.964937695165,TRUE,TRUE,TRUE
"19193",38,83,4,20,21,3,1,365.918944803251,FALSE,FALSE,TRUE
"19194",38,83,5,16,17,3,2,365.267589519272,FALSE,FALSE,FALSE
"19195",38,83,6,13,14,5,1,365.882782882027,FALSE,FALSE,TRUE
"19196",38,83,7,11,12,6,1,365.875765078146,FALSE,FALSE,TRUE
"19197",38,83,8,10,11,3,5,363.91095885244,FALSE,FALSE,FALSE
"19198",38,83,9,9,10,2,7,363.838335357416,FALSE,TRUE,FALSE
"19199",38,84,3,28,28,0,0,372.188611102838,TRUE,TRUE,TRUE
"19200",38,84,4,21,21,0,0,372.188611102838,TRUE,TRUE,TRUE
"19201",38,84,5,16,17,4,1,371.320137390867,FALSE,FALSE,FALSE
"19202",38,84,6,14,14,0,0,372.188611102838,TRUE,TRUE,TRUE
"19203",38,84,7,12,12,0,0,372.188611102838,TRUE,TRUE,TRUE
"19204",38,84,8,10,11,4,4,369.511296501757,FALSE,FALSE,FALSE
"19205",38,84,9,9,10,3,6,368.998707596215,FALSE,FALSE,FALSE
"19206",38,85,3,28,29,1,2,376.53846388754,FALSE,FALSE,FALSE
"19207",38,85,4,21,22,1,3,376.256573884529,FALSE,FALSE,FALSE
"19208",38,85,5,17,17,0,0,377.625356801677,TRUE,TRUE,TRUE
"19209",38,85,6,14,15,1,5,375.862561504758,FALSE,FALSE,FALSE
"19210",38,85,7,12,13,1,6,375.714072952382,FALSE,FALSE,FALSE
"19211",38,85,8,10,11,5,3,375.364305690289,FALSE,FALSE,FALSE
"19212",38,85,9,9,10,4,5,374.498877908605,FALSE,FALSE,FALSE
"19213",38,86,3,28,29,2,1,382.274611033362,TRUE,FALSE,TRUE
"19214",38,86,4,21,22,2,2,381.71083102734,FALSE,FALSE,FALSE
"19215",38,86,5,17,18,1,4,381.487421594852,FALSE,TRUE,FALSE
"19216",38,86,6,14,15,2,4,380.922806267797,FALSE,FALSE,FALSE
"19217",38,86,7,12,13,2,5,380.625829163046,FALSE,FALSE,FALSE
"19218",38,86,8,10,11,6,2,381.418670014329,FALSE,FALSE,FALSE
"19219",38,86,9,9,10,5,4,380.25171976021,FALSE,FALSE,FALSE
"19220",38,87,3,29,29,0,0,388.534006322949,TRUE,TRUE,TRUE
"19221",38,87,4,21,22,3,1,387.688336313916,FALSE,FALSE,FALSE
"19222",38,87,5,17,18,2,3,386.735780749147,FALSE,FALSE,FALSE
"19223",38,87,6,14,15,3,3,386.506299174601,FALSE,FALSE,FALSE
"19224",38,87,7,12,13,3,4,386.060833517475,FALSE,FALSE,FALSE
"19225",38,87,8,10,11,7,1,387.640481313189,FALSE,FALSE,FALSE
"19226",38,87,9,9,10,6,3,386.205916747323,FALSE,FALSE,FALSE
"19227",38,88,3,29,30,1,2,392.918348703206,FALSE,FALSE,FALSE
"19228",38,88,4,22,22,0,0,394.005639674082,TRUE,TRUE,TRUE
"19229",38,88,5,17,18,3,2,392.507388047207,FALSE,FALSE,FALSE
"19230",38,88,6,14,15,4,2,392.429590154996,FALSE,FALSE,FALSE
"19231",38,88,7,12,13,4,3,391.835635945494,FALSE,FALSE,FALSE
"19232",38,88,8,11,11,0,0,394.005639674082,TRUE,TRUE,TRUE
"19233",38,88,9,9,10,7,2,392.327560709256,FALSE,FALSE,FALSE
"19234",38,89,3,29,30,2,1,398.688985444582,TRUE,FALSE,TRUE
"19235",38,89,4,22,23,1,3,398.11907266657,FALSE,TRUE,FALSE
"19236",38,89,5,17,18,4,1,398.618793418858,FALSE,FALSE,TRUE
"19237",38,89,6,14,15,5,1,398.605552674606,FALSE,FALSE,TRUE
"19238",38,89,7,12,13,5,2,397.863109912729,FALSE,FALSE,FALSE
"19239",38,89,8,11,12,1,7,397.447671470756,FALSE,TRUE,FALSE
"19240",38,89,9,9,10,8,1,398.592551733222,FALSE,FALSE,TRUE
"19241",38,90,3,30,30,0,0,404.982870329724,TRUE,TRUE,TRUE
"19242",38,90,4,22,23,2,2,403.618800020177,FALSE,FALSE,FALSE
"19243",38,90,5,18,18,0,0,404.982870329724,TRUE,TRUE,TRUE
"19244",38,90,6,15,15,0,0,404.982870329724,TRUE,TRUE,TRUE
"19245",38,90,7,12,13,6,1,404.091939015471,FALSE,FALSE,FALSE
"19246",38,90,8,11,12,2,6,402.27599762855,FALSE,FALSE,FALSE
"19247",38,90,9,10,10,0,0,404.982870329724,TRUE,TRUE,TRUE
"19248",38,91,3,30,31,1,2,409.400552218899,FALSE,FALSE,FALSE
"19249",38,91,4,22,23,3,1,409.641775517549,FALSE,FALSE,FALSE
"19250",38,91,5,18,19,1,4,408.900519291755,FALSE,FALSE,FALSE
"19251",38,91,6,15,16,1,5,408.723536869027,FALSE,FALSE,FALSE
"19252",38,91,7,13,13,0,0,410.488215093033,TRUE,TRUE,TRUE
"19253",38,91,8,11,12,3,5,407.627571930108,FALSE,FALSE,FALSE
"19254",38,91,9,10,11,1,8,408.333867400566,FALSE,FALSE,FALSE
"19255",38,92,3,30,31,2,1,415.204528469193,FALSE,FALSE,FALSE
"19256",38,92,4,23,23,0,0,416.004549088512,TRUE,TRUE,TRUE
"19257",38,92,5,18,19,2,3,414.204462614907,FALSE,FALSE,FALSE
"19258",38,92,6,15,16,2,4,413.85049776945,FALSE,FALSE,FALSE
"19259",38,92,7,13,14,1,6,414.090676060647,FALSE,FALSE,FALSE
"19260",38,92,8,11,12,4,4,413.318944305257,FALSE,FALSE,FALSE
"19261",38,92,9,10,11,2,7,413.071158832527,FALSE,FALSE,FALSE
